r,m,c,b,f,dm,dc,db,df
1.214385013919933499e+03,1.360683208599402803e-05,3.028413613904438750e-01,6.579557393074988436e-01,8.145185927670050008e-01,3.439513617983767539e-05,-3.326851384466283279e-06,-3.212139899149643742e-06,-2.602065925472403398e-06
1.214391144249080980e+03,1.381932776977085612e-05,3.028413408153058373e-01,6.579557194386829178e-01,8.145185766717276676e-01,3.493227603549149224e-05,-3.385893158136646757e-06,-3.270169744387231261e-06,-2.649106400907678918e-06
1.214397274578228689e+03,1.403514193454828566e-05,3.028413198750259383e-01,6.579556992109196756e-01,8.145185602854763118e-01,3.547780413457520416e-05,-3.445981145379520121e-06,-3.329248870897141577e-06,-2.696998070978563357e-06
1.214403404907376171e+03,1.425432640307670921e-05,3.028412985631340759e-01,6.579556786177184202e-01,8.145185436029860337e-01,3.603185146778395604e-05,-3.507133851700293733e-06,-3.389396269897673257e-06,-2.745756353282847591e-06
1.214409535236523880e+03,1.447693384030534625e-05,3.028412768730410209e-01,6.579556576524667744e-01,8.145185266188922357e-01,3.659455115449284263e-05,-3.569370122618558421e-06,-3.450631290742888814e-06,-2.795396956458606428e-06
1.214415665565671361e+03,1.470301764595764533e-05,3.028412547980534608e-01,6.579556363084447801e-01,8.145185093277437227e-01,3.716603817123597753e-05,-3.632709100755399593e-06,-3.512973595925315846e-06,-2.845935843577859258e-06
1.214421795894819070e+03,1.493263216443851507e-05,3.028412323313439125e-01,6.579556145787952559e-01,8.145184917239772782e-01,3.774644988224713148e-05,-3.697170311518917717e-06,-3.576443251639742865e-06,-2.897389305647693537e-06
1.214427926223966551e+03,1.516583249987807667e-05,3.028412094659767573e-01,6.579555924565496650e-01,8.145184738019397575e-01,3.833592557197545216e-05,-3.762773588821300201e-06,-3.641060649575295506e-06,-2.949773898131125023e-06
1.214434056553114260e+03,1.540267464973214963e-05,3.028411861948889783e-01,6.579555699346083530e-01,8.145184555558713235e-01,3.893460678275940414e-05,-3.829539129906938812e-06,-3.706846564931529308e-06,-3.003106488140166504e-06
1.214440186882261742e+03,1.564321552149655642e-05,3.028411625108879401e-01,6.579555470057384392e-01,8.145184369799041146e-01,3.954263735706662139e-05,-3.897487503008827397e-06,-3.773822164811937105e-06,-3.057404261155294855e-06
1.214446317211409450e+03,1.588751281662931228e-05,3.028411384066669321e-01,6.579555236625895809e-01,8.145184180680745678e-01,4.016016314410402220e-05,-3.966639600561026271e-06,-3.842008958887485026e-06,-3.112684681020764255e-06
1.214452447540556932e+03,1.613562525736588580e-05,3.028411138747730269e-01,6.579554998976607783e-01,8.145183988142973286e-01,4.078733257308770883e-05,-4.037016732692236596e-06,-3.911428898458373519e-06,-3.168965570383126453e-06
1.214458577869704641e+03,1.638761238686446854e-05,3.028410889076354473e-01,6.579554757033296841e-01,8.145183792123881217e-01,4.142429614810666343e-05,-4.108640546145785645e-06,-3.982104290975391957e-06,-3.226265041259632600e-06
1.214464708198852122e+03,1.664353471356815159e-05,3.028410634975441384e-01,6.579554510718303995e-01,8.145183592560463204e-01,4.207120681299286258e-05,-4.181533084114655921e-06,-4.054057863499710479e-06,-3.284601546575576848e-06
1.214470838527999831e+03,1.690345372926522317e-05,3.028410376366475476e-01,6.579554259952510309e-01,8.145183389388525041e-01,4.272821999696181818e-05,-4.255716794611045661e-06,-4.127312771803974150e-06,-3.343993887681457104e-06
1.214476968857147313e+03,1.716743178366101767e-05,3.028410113169698326e-01,6.579554004655516763e-01,8.145183182542833356e-01,4.339549329759222125e-05,-4.331214479389616348e-06,-4.201892546476371560e-06,-3.404461170440231123e-06
1.214483099186295021e+03,1.743553232946342955e-05,3.028409845303755010e-01,6.579553744745273436e-01,8.145182971956820284e-01,4.407318710026682164e-05,-4.408049395966521884e-06,-4.277821201269606434e-06,-3.466022893323613883e-06
