r,m,c,b,f,dm,dc,db,df
1.697064899146749042e+02,1.178794401719201405e-05,3.030499162884039421e-01,6.592883718738217214e-01,8.154644380797143599e-01,2.980773596454818923e-05,-2.823661587591474061e-06,-2.706314418267840954e-06,-2.190785016731566387e-06
1.697126160791432881e+02,1.197197281258051229e-05,3.030498988371135294e-01,6.592883551451743651e-01,8.154644245376463374e-01,3.027308269517020313e-05,-2.873783142681504456e-06,-2.755209397971957174e-06,-2.230393100639422020e-06
1.697187422436117004e+02,1.215887461363288341e-05,3.030498810760543504e-01,6.592883381142852217e-01,8.154644107507413864e-01,3.074569424707219539e-05,-2.924793063931955061e-06,-2.804988558313613561e-06,-2.270717955232332389e-06
1.697248684080800842e+02,1.234869424528173694e-05,3.030498629997397386e-01,6.592883207756926600e-01,8.154643967145719374e-01,3.122568396473127377e-05,-2.976707058645601948e-06,-2.855667892471821099e-06,-2.311772555523698565e-06
1.697309945725484965e+02,1.254147725891933440e-05,3.030498446025825521e-01,6.592883031238324643e-01,8.154643824246272654e-01,3.171316702947562469e-05,-3.029541122003082196e-06,-2.907263694424175367e-06,-2.353570120826577349e-06
1.697371207370168804e+02,1.273726994598605618e-05,3.030498258788925092e-01,6.592882851530353916e-01,8.154643678763113801e-01,3.220826049383935646e-05,-3.083311543152710966e-06,-2.959792565520512383e-06,-2.396124119894128989e-06
1.697432469014852927e+02,1.293611924357287563e-05,3.030498068228895669e-01,6.592882668575406058e-01,8.154643530649539063e-01,3.271108304287739674e-05,-3.138034868120669716e-06,-3.013271375765534872e-06,-2.439448239719021772e-06
1.697493730659536766e+02,1.313807291886393195e-05,3.030497874286776638e-01,6.592882482314693648e-01,8.154643379857886565e-01,3.322175546052307665e-05,-3.193727973903281603e-06,-3.067717341551796635e-06,-2.483556448470537197e-06
1.697554992304220889e+02,1.334317940661203090e-05,3.030497676902675352e-01,6.592882292688470036e-01,8.154643226339723938e-01,3.374040021864444498e-05,-3.250408004225408238e-06,-3.123147958608802722e-06,-2.528462941121175844e-06
1.697616253948904728e+02,1.355148792652984220e-05,3.030497476015597824e-01,6.592882099635871684e-01,8.154643070045702880e-01,3.426714177386352544e-05,-3.308092416949081942e-06,-3.179581051719767936e-06,-2.574182179892317978e-06
1.697677515593588851e+02,1.376304849797252113e-05,3.030497271563428741e-01,6.592881903094889307e-01,8.154642910925550270e-01,3.480210660467674278e-05,-3.366798990718123467e-06,-3.237034781954387121e-06,-2.620728899992985266e-06
1.697738777238272974e+02,1.397791183793848549e-05,3.030497063483069686e-01,6.592881703002504423e-01,8.154642748928174756e-01,3.534542295355067661e-05,-3.426545784490655899e-06,-3.295527604320968961e-06,-2.668118075345409392e-06
1.697800038882956812e+02,1.419612956036461972e-05,3.030496851710159922e-01,6.592881499294412917e-01,8.154642584001440264e-01,3.589722133082984924e-05,-3.487351218358288294e-06,-3.355078352825928805e-06,-2.716364987570487798e-06
1.697861300527640935e+02,1.441775400051385280e-05,3.030496636179316194e-01,6.592881291905263730e-01,8.154642416092360291e-01,3.645763407070343361e-05,-3.549234003478497846e-06,-3.415706167019406157e-06,-2.765485166455912742e-06
1.697922562172324774e+02,1.464283834181976682e-05,3.030496416823958428e-01,6.592881080768479007e-01,8.154642245146956903e-01,3.702679565192425664e-05,-3.612213193801365814e-06,-3.477430546541862646e-06,-2.815494434127567302e-06
1.697983823817008897e+02,1.487143663175112090e-05,3.030496193576278641e-01,6.592880865816226343e-01,8.154642071110228541e-01,3.760484273791664958e-05,-3.676308193299339569e-06,-3.540271358884756704e-06,-2.866408911453213895e-06
1.698045085461692736e+02,1.510360367159905811e-05,3.030495966367399152e-01,6.592880646979576431e-01,8.154641893926289908e-01,3.819191389810628782e-05,-3.741538711803062634e-06,-3.604248793194599057e-06,-2.918244980462330882e-06
1.698106347106376859e+02,1.533939523182058879e-05,3.030495735127061163e-01,6.592880424188187760e-01,8.154641713538102188e-01,3.878815015240034199e-05,-3.807924853234388677e-06,-3.669383453209951917e-06,-2.971019359863311268e-06
