r,m,c,b,f,dm,dc,db,df
1.698167608751060698e+02,1.557886786228488739e-05,3.030495499783892321e-01,6.592880197370576401e-01,8.154641529887707296e-01,3.939369449140188738e-05,-3.875487039104213523e-06,-3.735696276991303957e-06,-3.024749039883744769e-06
1.698228870395744821e+02,1.582207902933185114e-05,3.030495260265214097e-01,6.592879966453911722e-01,8.154641342916052471e-01,4.000869222295103193e-05,-3.944246064965700239e-06,-3.803208596543607656e-06,-3.079451330618356674e-06
1.698290132040428659e+02,1.606908713291411916e-05,3.030495016497007921e-01,6.592879731363999740e-01,8.154641152562970285e-01,4.063329101546163586e-05,-4.014223108300122415e-06,-3.871942146364128807e-06,-3.135143869033349441e-06
1.698351393685112782e+02,1.631995138750915613e-05,3.030494768404084494e-01,6.592879492025436328e-01,8.154640958767324088e-01,4.126764059681302513e-05,-4.085439680338662233e-06,-3.941919012844780097e-06,-3.191844577829761422e-06
1.698412655329796621e+02,1.657473205480333316e-05,3.030494515909751274e-01,6.592879248361277478e-01,8.154640761466721566e-01,4.191189334266880699e-05,-4.157917722316089138e-06,-4.013161735978815781e-06,-3.249571748127465954e-06
1.698473916974480744e+02,1.683349023865800083e-05,3.030494258936100582e-01,6.592879000293329073e-01,8.154640560597754551e-01,4.256620375806021415e-05,-4.231679521996830096e-06,-4.085693221560277974e-06,-3.308343968062616472e-06
1.698535178619164867e+02,1.709628803320467895e-05,3.030493997403793660e-01,6.592878747741925949e-01,8.154640356095822495e-01,4.323072885182849804e-05,-4.306747775287062824e-06,-4.159536806371342258e-06,-3.368180175811219946e-06
1.698596440263848706e+02,1.736318854136726151e-05,3.030493731232034027e-01,6.592878490625906363e-01,8.154640147895109159e-01,4.390562818344997405e-05,-4.383145594830699210e-06,-4.234716267568809850e-06,-3.429099667183571181e-06
1.698657701908532829e+02,1.763425574618437288e-05,3.030493460338749001e-01,6.592878228862789625e-01,8.154639935928731376e-01,4.459106353768349041e-05,-4.460896457426481189e-06,-4.311255767326751295e-06,-3.491122050617173684e-06
1.698718963553216668e+02,1.790955476223023078e-05,3.030493184640220550e-01,6.592877962368404177e-01,8.154639720128432634e-01,4.528719956025643070e-05,-4.540024309068568726e-06,-4.389179964069377081e-06,-3.554267337651508941e-06
1.698780225197900791e+02,1.818915161407020070e-05,3.030492904051406700e-01,6.592877691057219547e-01,8.154639500424847309e-01,4.599420319770730435e-05,-4.620553473862376484e-06,-4.468513916459275399e-06,-3.618555864851565794e-06
1.698841486842584629e+02,1.847311339628113881e-05,3.030492618485705059e-01,6.592877414842089889e-01,8.154639276747310817e-01,4.671224410197526226e-05,-4.702508721229221574e-06,-4.549283154714122774e-06,-3.684008351742867078e-06
1.698902748487268752e+02,1.876150829346495097e-05,3.030492327854921175e-01,6.592877133634229558e-01,8.154639049023816311e-01,4.744149468099395070e-05,-4.785915275300383959e-06,-4.631513690859189502e-06,-3.750645909165252443e-06
1.698964010131952591e+02,1.905440544120905598e-05,3.030492032069465602e-01,6.592876847343418500e-01,8.154638817181198984e-01,4.818212974714323950e-05,-4.870798757543741429e-06,-4.715231958137789674e-06,-3.818489990076001996e-06
1.699025271776636714e+02,1.935187519775259627e-05,3.030491731037955883e-01,6.592876555877582589e-01,8.154638581144789677e-01,4.893432720411480520e-05,-4.957185301356768255e-06,-4.800464932827763249e-06,-3.887562488427097872e-06
1.699086533421320553e+02,1.965398890460202504e-05,3.030491424667565159e-01,6.592876259143157780e-01,8.154638340838703536e-01,4.969826744165425567e-05,-5.045101452693065186e-06,-4.887240029044621510e-06,-3.957885653823817667e-06
1.699147795066004676e+02,1.996081905943689045e-05,3.030491112863761272e-01,6.592875957044815882e-01,8.154638096185633511e-01,5.047413377272392116e-05,-5.134574243390832640e-06,-4.975585176852448735e-06,-4.029482154909222509e-06
