x,m,c,b,f,V,T
-9.612,1,4.84287771437e-15,1.1664211638e-16,1.4165839804e-09,0,4.35143681511e-18
-9.6,1,5.03018352928e-15,1.22218380582e-16,1.45243070059e-09,0,4.57440706025e-18
-9.588,1,5.22473362327e-15,1.28061094475e-16,1.48918435085e-09,0,4.80880351157e-18
-9.576,1,5.42680822683e-15,1.34182985859e-16,1.52686788355e-09,0,5.05521172686e-18
-9.564,1,5.63669840686e-15,1.40597390007e-16,1.56550483155e-09,0,5.314247271e-18
-9.552,1,5.8547064464e-15,1.47318276387e-16,1.60511932086e-09,0,5.58655723947e-18
-9.54,1,6.08114626982e-15,1.54360278308e-16,1.64573608537e-09,0,5.87282187053e-18
-9.528,1,6.31634392888e-15,1.61738726596e-16,1.68738048416e-09,0,6.17375625579e-18
-9.516,1,6.56063820298e-15,1.69469690575e-16,1.73007852379e-09,0,6.49011217485e-18
-9.504,1,6.81438097191e-15,1.77570006413e-16,1.77385686863e-09,0,6.82267993251e-18
-9.492,1,7.07793767507e-15,1.8605731086e-16,1.81874285514e-09,0,7.17229031473e-18
-9.48,1,7.35168782539e-15,1.9495007866e-16,1.86476450853e-09,0,7.53981665846e-18
-9.468,1,7.63602559699e-15,2.04267665053e-16,1.91195056242e-09,0,7.92617704779e-18
-9.456,1,7.93136055082e-15,2.14030357506e-16,1.9603304841e-09,0,8.3323366694e-18
-9.444,1,8.23811808534e-15,2.24259411485e-16,2.00993448619e-09,0,8.75931017128e-18
-9.432,1,8.5567399916e-15,2.34977093035e-16,2.06079354286e-09,0,9.20816417394e-18
-9.42,1,8.8876850746e-15,2.46206725999e-16,2.1129394087e-09,0,9.68001992776e-18
-9.408,1,9.23142986373e-15,2.57972745665e-16,2.16640464096e-09,0,1.01760561327e-17
-9.396,1,9.58846948996e-15,2.70300764044e-16,2.22122262825e-09,0,1.06975119621e-17
-9.384,1,9.95931823075e-15,2.83217615033e-16,2.27742760367e-09,0,1.12456900914e-17
-9.372,1,1.03445101811e-14,2.96751408137e-16,2.33505466321e-09,0,1.18219599217e-17
-9.36,1,1.07446000045e-14,3.10931588075e-16,2.39413978718e-09,0,1.24277609919e-17
-9.348,1,1.11601637924e-14,3.25789002474e-16,2.45471986535e-09,0,1.30646065985e-17
-9.336,1,1.1591800124e-14,3.41355984268e-16,2.5168327295e-09,0,1.37340876781e-17
-9.324,1,1.20401307253e-14,3.57666408681e-16,2.58051716826e-09,0,1.44378766955e-17
-9.312,1,1.25058012804e-14,3.74755761034e-16,2.64581294803e-09,0,1.51777317826e-17
-9.3,1,1.29894823394e-14,3.92661211958e-16,2.7127608372e-09,0,1.59555011191e-17
-9.288,1,1.3491870357e-14,4.11421702837e-16,2.78140263464e-09,0,1.67731275797e-17
-9.276,1,1.40136889743e-14,4.31078049788e-16,2.85178120661e-09,0,1.76326537189e-17
-9.264,1,1.45556898154e-14,4.51673015574e-16,2.92394050358e-09,0,1.85362267627e-17
-9.252,1,1.51186534677e-14,4.7325139517e-16,2.99792558389e-09,0,1.94861039227e-17
-9.24,1,1.57033905804e-14,4.95860110687e-16,3.0737826412e-09,0,2.04846580196e-17
-9.228,1,1.63107431192e-14,5.19548319184e-16,3.15155903685e-09,0,2.15343834506e-17
-9.216,1,1.69415859163e-14,5.44367543904e-16,3.23130334156e-09,0,2.26379025885e-17
-9.204,1,1.75968276335e-14,5.70371765006e-16,3.31306535458e-09,0,2.37979721905e-17
-9.192,1,1.82774119475e-14,5.97617527552e-16,3.39689613045e-09,0,2.50174902211e-17
-9.18,1,1.8984318877e-14,6.26164061281e-16,3.48284801016e-09,0,2.62995030718e-17
-9.168,1,1.97185663008e-14,6.56073416672e-16,3.57097465772e-09,0,2.76472132222e-17
